,metadata/Embedding model,metadata/Decoding config,metadata/Date,metadata/Model name,metadata/Dataset name,I(text -> summary),H(summary),H(summary|text),I(summary -> text),H(text),H(test|summary),mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l2,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l1,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/dot,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/kl,cardiffnlp_tweet-topic-21-multi/l2,cardiffnlp_tweet-topic-21-multi/l1,cardiffnlp_tweet-topic-21-multi/dot,cardiffnlp_tweet-topic-21-multi/kl,SamLowe_roberta-base-go_emotions/l2,SamLowe_roberta-base-go_emotions/l1,SamLowe_roberta-base-go_emotions/dot,SamLowe_roberta-base-go_emotions/kl,wesleyacheng_news-topic-classification-with-bert/l2,wesleyacheng_news-topic-classification-with-bert/l1,wesleyacheng_news-topic-classification-with-bert/dot,wesleyacheng_news-topic-classification-with-bert/kl,wesleyacheng_news-topic-classification-with-bert/proba_of_error
google_pegasus-multi_news-_-rotten_tomatoes-_-beam_sampling_long-_-2023-11-04-00-17-30,paraphrase-MiniLM-L6-v2,beam_sampling_long,2023-11-04-00-17-30,google_pegasus-multi_news,rotten_tomatoes,41.11062979736328,30.71841831431501,-10.392211483048271,63.02448355484014,67.50360612025378,4.4791225654136415,26.720008891175404,6.062808870714158,26.47156478383504,19.72429862246513,56.87641939109675,21.27479490009546,328.3513273551941,144.349403591156,78.6902875031434,32.86378088760376,920.4669079711914,186.25674878463744,7.996936732392758,4.350633846366406,2.502488758434076,13.764305043888092,0.6108
google_pegasus-arxiv-_-xsum-_-beam_sampling_long-_-2023-11-04-01-01-45,paraphrase-MiniLM-L6-v2,beam_sampling_long,2023-11-04-01-01-45,google_pegasus-arxiv,xsum,52.4226487372041,53.15459483472223,0.7319460975181333,43.36851188964844,34.01106591868513,-9.357445970963312,39.95981474037627,7.724570546135307,21.50652818928473,24.6401981443882,,,,,77.09239223355056,33.514129957294465,973.1692889465332,237.96860702209472,19.90269183488134,5.923174845069647,9.789790727301687,18.465202027606963,0.4549
sshleifer_distill-pegasus-cnn-16-4-_-rotten_tomatoes-_-top_p_sampling-_-2023-11-03-22-45-26,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-03-22-45-26,sshleifer_distill-pegasus-cnn-16-4,rotten_tomatoes,,89.22853933942434,,83.15913284759526,67.46318185038683,-15.695950997208428,9.947165506707387,2.852259928198717,37.671438146561385,19.349439982032777,,,,,28.28516837572692,15.771753489760869,973.0808803771972,201.70402514038085,1.6994175239304978,1.7039373806980438,3.293615917211934,10.705104353904725,0.2761
google_pegasus-large-_-rotten_tomatoes-_-beam_sampling_short-_-2023-11-03-22-48-11,paraphrase-MiniLM-L6-v2,beam_sampling_short,2023-11-03-22-48-11,google_pegasus-large,rotten_tomatoes,130.94937146377563,151.2749487380516,20.325577274275947,60.89672884902958,67.49521907038805,6.598490221358465,25.826810080287057,5.464517431031912,35.86706693561077,24.20338589792252,74.40282266453318,25.13907762473337,366.7597781280518,107.60378177642822,76.86789616544418,30.85824016700164,1003.4563555603028,243.3298553878784,2.4708137841152094,2.2406722274972126,1.2889909620017743,9.449497638893128,0.49
facebook_bart-large-cnn_rotten_tomatoes_top_p_sampling_2023-10-30-23-40-06,,,,,,,,,,,,6.531867445940429,2.576823320300132,37.48134167548865,17.899159930419923,19.824078658615417,11.481268884307893,343.64055691604614,137.15817492294312,27.57844931105841,17.801858091515303,951.5856407287598,189.4981761550904,3.0625435500213225,2.435720994015085,3.0909077871645567,11.496826070690156,0.4411
google_pegasus-arxiv-_-rotten_tomatoes-_-beam_search_long-_-2023-11-04-01-06-50,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-04-01-06-50,google_pegasus-arxiv,rotten_tomatoes,71.59864067592622,65.10181090064162,-6.4968297752846,55.34183681411748,67.46583646082995,12.12399964671247,28.76247781352589,5.9732164026081565,34.81256086108088,24.78522861776352,87.83229269779325,27.600233857917782,302.9651538749695,107.9976035636902,98.11805618478655,35.69161250538826,1030.7405737060546,255.2617162246704,22.50780007429421,7.531773398819566,3.0941004194781185,22.19981679458618,0.6761
facebook_bart-large-cnn-_-xsum-_-top_p_sampling-_-2023-11-04-01-02-28,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-01-02-28,facebook_bart-large-cnn,xsum,60.38950495910647,47.31742635569687,-13.0720786034096,52.4316728439331,34.07040966715925,-18.361263176773857,19.68586013272104,4.988078983615339,25.92218083858639,19.576447922992703,,,,,39.7719239820797,22.40062155522704,913.8038580444336,197.1827272277832,4.521058023465995,3.0617178350403904,18.25592656080313,17.156664464092255,0.2677
google_pegasus-arxiv-_-xsum-_-top_p_sampling-_-2023-11-04-01-16-29,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-01-16-29,google_pegasus-arxiv,xsum,56.093089907360095,58.37755327935333,2.284463371993231,42.98946614532471,34.02564452128522,-8.963821624039483,40.38196789591,7.735023305827379,21.8222643235784,24.902060176086422,,,,,76.06437636836768,33.21392361092568,966.4632009399414,237.85712206268312,19.685263533431293,5.785789903570712,9.255030634598809,17.844780214500428,0.4414
google_pegasus-arxiv-_-peer_read-_-top_p_sampling-_-2023-11-04-00-08-55,paraphrase-MiniLM-L6-v2,top_p_sampling,2023-11-04-00-08-55,google_pegasus-arxiv,peer_read,60.45874214055706,33.544269251792606,-26.91447288876445,48.61383411279148,20.4735183975804,-28.14031571521108,38.69959704335366,7.508017232877399,23.331220560700885,24.247213734326376,,,,,76.6121448196767,31.54562290465796,1055.322061353211,244.39154309380675,2.033568691850472,2.173885134081228,28.57872894371686,19.455374865284025,0.001223241590214
google_pegasus-large-_-arxiv-_-beam_search_long-_-2023-11-03-23-31-15,paraphrase-MiniLM-L6-v2,beam_search_long,2023-11-03-23-31-15,google_pegasus-large,arxiv,44.85381840830264,26.931317612661864,-17.922500795640772,48.06957849775042,27.9142056833548,-20.155372814395623,19.196158782899087,4.629003690788233,41.560727184899264,21.94848204740086,,,,,16.54386431321224,13.957985798986805,1175.2488988177377,238.4384605265552,0.998168515192955,1.4587580881411244,30.110666804765323,19.83533030326322,0.0034161490683229
